机器质量等级,转速（rpm）,扭矩（Nm）,功率（KW）,使用时长（min）,是否发生故障,具体故障类别
L,1421,42.5,6.3238219895287955,61,0,Normal
L,1427,37.6,5.61834554973822,73,0,Normal
L,1667,29.9,5.219193717277486,75,0,Normal
L,1400,46.7,6.84607329842932,77,0,Normal
L,1709,32.1,5.744387434554974,79,0,Normal
L,1882,23.8,4.690219895287958,84,0,Normal
L,1353,58.7,8.316345549738221,86,0,Normal
L,1553,40.0,6.504712041884817,88,0,Normal
L,1431,45.4,6.802869109947644,90,0,Normal
L,1533,37.0,5.939371727748691,101,0,Normal
L,1791,28.2,5.2886073298429315,108,0,Normal
L,1631,28.3,4.833225130890052,110,0,Normal
L,2174,16.9,3.8471832460732984,112,0,Normal
L,1314,58.2,8.007832460732985,114,0,Normal
L,1478,46.9,7.258450261780104,116,0,Normal
L,1783,27.3,5.096952879581152,118,0,Normal
L,1444,43.6,6.592502617801047,123,0,Normal
L,1841,23.0,4.433821989528796,125,0,Normal
L,1340,56.0,7.857591623036649,130,0,Normal
L,1712,28.5,5.109109947643979,141,0,Normal
L,1441,42.9,6.473183246073298,148,0,Normal
L,1610,32.1,5.411623036649215,150,0,Normal
L,1558,29.7,4.845298429319372,168,0,Normal
L,1397,51.2,7.489675392670158,173,0,Normal
L,1972,22.0,4.54282722513089,175,0,Normal
L,1560,38.9,6.35434554973822,180,0,Normal
L,1578,42.1,6.95641884816754,191,0,Normal
L,1412,48.3,7.1413193717277474,198,0,Normal
L,1668,30.3,5.292188481675393,200,0,Normal
L,1612,35.4,5.975371727748691,205,0,Normal
L,1485,39.9,6.20434554973822,207,0,Normal
L,1504,38.7,6.094743455497382,212,0,Normal
L,1491,44.3,6.916366492146597,214,0,Normal
L,1759,27.9,5.138858638743455,5,0,Normal
L,1658,34.8,6.04171727748691,16,0,Normal
L,1566,34.4,5.6408795811518315,18,0,Normal
L,1858,23.6,4.591497382198953,26,0,Normal
L,2141,17.9,4.012973821989529,33,0,Normal
L,1473,46.0,7.095078534031414,35,0,Normal
L,1568,39.7,6.5182827225130895,42,0,Normal
L,1694,27.4,4.8602722513089,44,0,Normal
L,1499,35.7,5.60359162303665,46,0,Normal
L,1717,28.3,5.088073298429319,48,0,Normal
L,1642,34.5,5.931832460732984,53,0,Normal
L,1760,25.4,4.681047120418848,55,0,Normal
L,1660,32.7,5.683979057591624,57,0,Normal
L,1557,40.6,6.619287958115184,59,0,Normal
L,1359,51.5,7.328638743455498,66,0,Normal
L,1342,52.5,7.377486910994764,68,0,Normal
L,1435,54.8,8.23434554973822,70,0,Normal
L,1567,36.5,5.989057591623037,72,0,Normal
L,1376,43.5,6.267643979057592,74,0,Normal
L,1521,45.1,7.182942408376964,86,0,Normal
L,1658,34.7,6.024356020942409,88,0,Normal
L,1513,32.9,5.212324607329843,117,0,Normal
L,1428,43.8,6.549361256544502,119,0,Normal
L,1534,42.5,6.826701570680628,127,0,Normal
L,1367,54.0,7.7296335078534035,129,0,Normal
L,1467,36.9,5.668303664921465,131,0,Normal
L,1679,30.1,5.291926701570681,136,0,Normal
L,1314,63.1,8.682031413612567,146,0,Normal
L,1480,40.0,6.198952879581152,148,0,Normal
L,1549,38.9,6.309539267015706,150,0,Normal
L,1685,31.3,5.522565445026178,152,0,Normal
L,1536,34.5,5.548900523560209,154,0,Normal
L,1384,45.1,6.535958115183246,159,0,Normal
L,1386,56.9,8.257947643979056,170,0,Normal
L,1624,32.6,5.543706806282723,175,0,Normal
L,1600,34.6,5.796858638743456,177,0,Normal
L,1468,44.7,6.871162303664922,179,0,Normal
L,1435,45.4,6.8218848167539266,181,0,Normal
L,1570,36.8,6.049842931937172,189,0,Normal
L,1527,37.0,5.916125654450262,194,0,Normal
L,1616,32.0,5.414869109947644,199,0,Normal
L,1654,31.0,5.369005235602094,201,0,Normal
L,1685,27.1,4.78151832460733,203,0,Normal
L,1551,33.7,5.473162303664922,214,0,Normal
L,1599,30.1,5.039780104712042,216,0,Normal
L,1401,44.5,6.528219895287958,0,0,Normal
L,1454,51.7,7.871392670157069,2,0,Normal
L,1489,40.3,6.283424083769633,7,0,Normal
L,1465,40.6,6.228167539267016,9,0,Normal
L,1479,47.0,7.278848167539267,22,0,Normal
L,1430,43.4,6.498638743455498,24,0,Normal
L,1404,54.8,8.056460732984293,29,0,Normal
L,1587,31.4,5.217989528795811,43,0,Normal
L,1462,51.4,7.868774869109948,48,0,Normal
L,1649,32.4,5.594513089005235,50,0,Normal
L,1752,29.0,5.32020942408377,52,0,Normal
L,1653,27.6,4.7772565445026185,62,0,Normal
L,2025,21.4,4.537696335078534,64,0,Normal
L,1426,53.6,8.003518324607331,66,0,Normal
L,1423,49.1,7.316157068062828,74,0,Normal
L,1474,40.7,6.28186387434555,87,0,Normal
L,1465,46.0,7.056544502617801,89,0,Normal
L,1475,46.8,7.2282722513089,94,0,Normal
L,1442,43.2,6.522973821989529,96,0,Normal
L,1556,36.0,5.865549738219896,98,0,Normal
L,1425,45.3,6.759424083769633,100,0,Normal
L,1580,38.3,6.336544502617801,102,0,Normal
L,1489,38.4,5.9871832460732985,109,0,Normal
L,1946,20.5,4.177277486910995,111,0,Normal
L,1430,48.5,7.262303664921466,122,0,Normal
L,1612,35.2,5.941612565445026,124,0,Normal
L,1384,42.4,6.144670157068063,131,0,Normal
L,1724,28.1,5.072712041884817,133,0,Normal
L,1468,42.0,6.456125654450262,141,0,Normal
L,1493,38.9,6.081434554973821,149,0,Normal
L,1501,36.1,5.673937172774869,156,0,Normal
L,1668,30.8,5.37951832460733,158,0,Normal
L,1502,48.9,7.690869109947644,160,0,Normal
L,1491,42.9,6.697790575916231,165,0,Normal
L,1519,39.6,6.298680628272251,167,0,Normal
L,1984,19.7,4.092649214659685,169,0,Normal
L,1643,32.9,5.660178010471204,171,0,Normal
L,1558,36.3,5.922031413612565,184,0,Normal
L,1344,54.8,7.712167539267015,186,0,Normal
L,1355,53.6,7.605026178010471,193,0,Normal
L,1269,56.8,7.547560209424083,195,1,OSF
L,1550,41.5,6.7356020942408374,197,0,Normal
L,1937,21.8,4.421633507853403,205,0,Normal
L,1665,31.4,5.474450261780104,0,0,Normal
L,1438,40.9,6.158554973821989,7,0,Normal
L,1531,41.6,6.669068062827225,9,0,Normal
L,1506,40.8,6.434010471204188,11,0,Normal
L,1382,52.4,7.582910994764398,13,0,Normal
L,1515,40.9,6.488324607329843,21,0,Normal
L,1449,45.5,6.903612565445026,23,0,Normal
L,1687,29.7,5.24648167539267,30,0,Normal
L,1618,37.6,6.37034554973822,32,0,Normal
L,1662,31.0,5.394973821989529,37,0,Normal
L,1385,42.3,6.1346073298429316,42,0,Normal
L,1400,44.3,6.494240837696334,47,0,Normal
L,1657,34.1,5.916617801047121,52,0,Normal
L,1496,43.4,6.798575916230367,54,0,Normal
L,1548,38.6,6.2568376963350785,59,0,Normal
L,1499,38.1,5.9803036649214665,61,0,Normal
L,1390,45.8,6.666178010471204,63,0,Normal
L,1365,47.7,6.8178534031413625,70,0,Normal
L,1503,48.6,7.648774869109948,72,0,Normal
L,1390,49.9,7.262931937172775,74,0,Normal
L,1497,45.7,7.163654450261781,76,0,Normal
L,1432,54.3,8.142157068062826,81,0,Normal
L,1433,43.4,6.5122722513089,86,0,Normal
L,1384,50.1,7.260565445026179,88,0,Normal
L,1346,46.7,6.582010471204189,90,0,Normal
L,1459,44.7,6.82903664921466,92,0,Normal
L,1639,28.9,4.959905759162304,94,0,Normal
L,1737,31.9,5.802125654450261,96,0,Normal
L,1489,43.5,6.782356020942409,98,0,Normal
L,1636,28.7,4.916565445026178,106,0,Normal
L,1436,49.7,7.473214659685864,108,0,Normal
L,1689,30.6,5.411874345549738,110,0,Normal
L,2289,16.4,3.930848167539267,112,0,Normal
L,1522,41.0,6.534240837696335,114,0,Normal
L,1351,52.9,7.483549738219895,116,0,Normal
L,1589,36.7,6.106418848167539,118,0,Normal
L,1578,34.1,5.6345340314136125,120,0,Normal
L,1587,33.7,5.600198952879581,122,0,Normal
L,1962,20.2,4.149989528795811,124,0,Normal
L,1418,43.9,6.5183455497382194,129,0,Normal
L,1683,29.7,5.234041884816754,131,0,Normal
L,1385,50.7,7.35282722513089,133,0,Normal
L,1559,44.5,7.264450261780104,135,0,Normal
L,1705,31.2,5.570261780104712,146,0,Normal
L,1535,35.4,5.689947643979058,148,0,Normal
L,1564,34.1,5.584544502617801,150,0,Normal
L,1492,45.2,7.061612565445027,155,0,Normal
L,1382,52.4,7.582910994764398,165,0,Normal
L,1706,27.9,4.984020942408376,170,0,Normal
L,1594,34.1,5.691664921465969,172,0,Normal
L,1761,24.3,4.480869109947644,174,0,Normal
L,1529,41.8,6.692376963350785,176,0,Normal
L,1673,27.8,4.870094240837696,181,0,Normal
L,1285,62.6,8.423141361256544,183,1,OSF
L,1680,31.4,5.523769633507853,185,0,Normal
L,1610,34.6,5.833089005235602,187,0,Normal
L,1632,31.6,5.400125654450262,189,0,Normal
L,1559,40.2,6.562492146596859,191,0,Normal
L,1367,49.0,7.01392670157068,193,0,Normal
L,1355,57.8,8.200942408376964,195,1,OSF
L,1522,36.6,5.833005235602094,202,0,Normal
L,1525,41.9,6.690837696335079,204,0,Normal
L,1394,46.5,6.787539267015707,206,0,Normal
L,1519,40.7,6.473643979057592,208,0,Normal
L,1445,43.9,6.6424607329842935,210,0,Normal
L,1555,43.3,7.050418848167539,212,0,Normal
L,1633,39.5,6.754293193717277,0,0,Normal
L,1350,58.5,8.269633507853403,13,0,Normal
L,2760,8.0,2.312041884816754,15,1,PWF
L,1584,32.2,5.340816753926702,17,0,Normal
L,1989,21.8,4.5403350785340315,19,0,Normal
L,1431,44.3,6.6380418848167535,21,0,Normal
L,1568,35.2,5.779434554973823,23,0,Normal
L,1376,50.6,7.290638743455498,25,0,Normal
L,1568,33.1,5.434638743455498,38,0,Normal
L,1590,36.3,6.043664921465968,43,0,Normal
L,1376,47.6,6.858387434554974,45,0,Normal
L,1510,38.5,6.087434554973822,47,0,Normal
L,1426,40.7,6.077298429319372,54,0,Normal
L,1466,43.6,6.692942408376963,56,0,Normal
L,1466,47.3,7.260921465968587,77,0,Normal
L,1408,47.3,6.97365445026178,79,0,Normal
L,1490,48.1,7.504607329842932,81,0,Normal
L,1405,42.3,6.2231937172774865,83,0,Normal
L,1647,33.3,5.742942408376964,85,0,Normal
L,1648,30.7,5.297759162303665,90,0,Normal
L,1675,30.7,5.38455497382199,92,0,Normal
L,1605,34.2,5.747748691099477,94,0,Normal
L,1347,53.3,7.517811518324606,104,0,Normal
L,1337,52.7,7.378000000000001,106,0,Normal
L,1695,30.9,5.48434554973822,108,0,Normal
L,1470,44.0,6.772774869109948,113,0,Normal
L,1381,49.8,7.2014450261780105,115,0,Normal
L,1451,39.7,6.031905759162304,123,0,Normal
L,1419,55.7,8.276261780104713,125,0,Normal
L,1313,55.6,7.644272251308901,127,0,Normal
L,1560,36.3,5.929633507853403,129,0,Normal
L,1555,41.2,6.708481675392671,131,0,Normal
L,1579,36.9,6.101057591623037,133,0,Normal
L,1435,44.6,6.701675392670157,135,0,Normal
L,1621,33.7,5.720178010471205,137,0,Normal
L,1611,33.8,5.701759162303665,144,0,Normal
L,1834,23.5,4.512984293193718,146,0,Normal
L,1629,34.1,5.816638743455497,151,0,Normal
L,1496,35.2,5.514052356020943,153,0,Normal
L,1593,32.9,5.4879267015706805,155,0,Normal
L,1380,48.7,7.037277486910995,160,0,Normal
L,1562,34.4,5.626471204188481,162,0,Normal
L,1391,49.4,7.195329842931937,164,0,Normal
L,1429,43.6,6.524020942408377,176,0,Normal
L,1389,54.9,7.984931937172774,187,0,Normal
L,1466,48.1,7.3837277486911,189,0,Normal
L,2297,15.8,3.8002722513089005,191,0,Normal
L,1471,37.5,5.776178010471204,193,0,Normal
L,1492,41.4,6.467937172774868,195,0,Normal
L,1460,41.5,6.344502617801047,197,0,Normal
L,1559,39.4,6.431895287958115,199,0,Normal
L,1535,39.0,6.268586387434555,204,0,Normal
L,1381,50.7,7.331591623036649,206,0,Normal
L,1624,34.5,5.866806282722513,216,0,Normal
L,1478,36.6,5.664376963350786,218,0,Normal
L,1605,33.3,5.596492146596858,220,0,Normal
L,1506,43.4,6.8440209424083776,222,0,Normal
L,1455,43.9,6.6884293193717275,0,0,Normal
L,1425,54.4,8.117277486910995,7,0,Normal
L,1918,21.8,4.378261780104713,9,0,Normal
L,1329,46.6,6.484963350785341,24,0,Normal
L,1270,54.2,7.207748691099477,26,0,Normal
L,1415,41.6,6.163769633507854,28,0,Normal
L,1809,25.5,4.830314136125654,40,0,Normal
L,1303,59.7,8.1454554973822,42,0,Normal
L,1447,56.9,8.621392670157068,47,0,Normal
L,1461,44.2,6.761905759162304,49,0,Normal
L,2092,18.6,4.074471204188482,51,0,Normal
L,1736,26.5,4.8171727748691096,56,0,Normal
L,1441,49.3,7.4388795811518325,58,0,Normal
L,1523,43.3,6.905329842931937,60,0,Normal
L,1644,33.4,5.749696335078534,68,0,Normal
L,1522,43.8,6.980481675392669,70,0,Normal
L,1547,41.7,6.75496335078534,72,0,Normal
L,1597,30.8,5.1505340314136125,74,0,Normal
L,1400,58.2,8.53193717277487,79,0,Normal
L,1663,31.5,5.485287958115183,81,0,Normal
L,1540,37.6,6.063246073298429,83,0,Normal
L,1519,39.0,6.20324607329843,90,0,Normal
L,1427,47.7,7.12752879581152,92,0,Normal
L,1650,29.8,5.14869109947644,94,0,Normal
L,1379,54.8,7.913005235602094,99,0,Normal
L,1542,36.7,5.925801047120419,101,0,Normal
L,1356,45.7,6.488921465968587,119,0,Normal
L,1309,48.0,6.579267015706806,124,0,Normal
L,1642,33.1,5.691120418848168,126,0,Normal
L,1289,54.9,7.41006282722513,128,0,Normal
L,1353,43.8,6.205382198952879,130,0,Normal
L,1493,47.6,7.441549738219895,145,0,Normal
L,1726,26.7,4.825570680628272,150,0,Normal
L,1608,33.0,5.556439790575916,160,0,Normal
L,1771,27.2,5.044104712041885,162,0,Normal
L,1474,42.6,6.575120418848168,164,0,Normal
L,1322,53.0,7.3367539267015704,166,0,Normal
L,1402,47.8,7.017340314136125,182,0,Normal
L,1550,35.2,5.713089005235603,184,0,Normal
L,1376,44.9,6.469361256544503,186,0,Normal
L,1669,32.2,5.627413612565445,191,0,Normal
L,1541,38.9,6.276952879581152,193,0,Normal
L,1651,32.5,5.618586387434555,195,0,Normal
L,1521,39.3,6.259193717277486,197,0,Normal
L,1609,31.7,5.3408691099476435,202,0,Normal
L,1378,53.1,7.6619685863874345,212,1,OSF
L,1567,39.0,6.399267015706807,214,1,TWF
L,1486,40.3,6.270764397905759,6,0,Normal
L,1563,36.2,5.924670157068063,8,0,Normal
L,1632,34.2,5.844439790575916,18,0,Normal
L,1635,36.0,6.163350785340314,23,0,Normal
L,1686,32.5,5.737696335078534,25,0,Normal
L,1574,31.4,5.175246073298429,27,0,Normal
L,1546,43.4,7.025801047120418,29,0,Normal
L,1899,24.7,4.911549738219895,31,0,Normal
L,1449,36.5,5.538062827225131,33,0,Normal
L,1576,38.6,6.370010471204189,38,0,Normal
L,1616,34.5,5.837905759162304,46,0,Normal
L,1799,24.2,4.558722513089005,54,0,Normal
L,1525,43.2,6.898429319371727,62,0,Normal
L,1551,37.7,6.122795811518325,64,0,Normal
L,1735,31.5,5.722774869109948,66,0,Normal
L,1743,26.2,4.781842931937173,71,0,Normal
L,1680,32.4,5.699685863874346,76,0,Normal
L,1486,38.5,5.990680628272251,78,0,Normal
L,1471,43.8,6.746575916230366,80,0,Normal
L,1295,62.3,8.448010471204189,91,0,Normal
L,1548,34.1,5.527413612565446,93,0,Normal
L,1372,54.7,7.858471204188483,95,0,Normal
L,1451,50.7,7.703214659685863,108,0,Normal
L,1452,48.4,7.358827225130891,110,0,Normal
L,1406,46.0,6.772356020942408,112,0,Normal
L,1567,39.1,6.415675392670158,114,0,Normal
L,1599,41.7,6.9820209424083775,116,0,Normal
L,2672,11.8,3.3015287958115187,124,1,PWF
L,1650,31.9,5.51151832460733,126,0,Normal
L,1395,50.5,7.376701570680629,131,0,Normal
L,1751,29.3,5.372178010471204,133,0,Normal
L,1192,68.9,8.599874345549738,135,0,Normal
L,1947,25.0,5.096858638743456,137,0,Normal
L,1593,34.9,5.821539267015707,139,0,Normal
L,2465,13.7,3.5361780104712044,149,0,Normal
L,1403,46.8,6.875434554973821,151,0,Normal
L,1517,41.1,6.528659685863875,167,0,Normal
L,1354,50.0,7.0890052356020945,169,0,Normal
L,1399,53.2,7.79338219895288,174,0,Normal
L,1523,34.7,5.5338324607329845,181,0,Normal
L,1377,43.1,6.214523560209424,183,0,Normal
L,1542,40.0,6.458638743455498,188,0,Normal
L,1557,33.3,5.429120418848167,190,0,Normal
L,1641,31.9,5.481455497382198,192,0,Normal
L,1318,55.0,7.5905759162303665,194,0,Normal
L,1638,33.8,5.797319371727748,196,0,Normal
L,1405,46.4,6.826387434554974,207,1,TWF
L,1622,37.8,6.420062827225131,0,0,Normal
L,1557,39.4,6.423643979057591,2,0,Normal
L,1606,33.3,5.599979057591622,4,0,Normal
L,1529,41.6,6.660356020942409,12,0,Normal
L,1448,46.3,7.0201465968586385,14,0,Normal
L,1435,44.2,6.641570680628273,16,0,Normal
L,1657,29.1,5.049078534031414,23,0,Normal
L,1509,39.9,6.3046178010471206,25,0,Normal
L,1588,30.6,5.0882513089005235,39,0,Normal
L,1609,32.1,5.408261780104712,41,0,Normal
L,1415,44.1,6.534188481675392,43,0,Normal
L,1845,27.3,5.274188481675393,45,0,Normal
L,1634,30.6,5.235643979057592,50,0,Normal
L,1499,37.7,5.91751832460733,55,0,Normal
L,1449,46.5,7.055340314136125,60,0,Normal
L,1622,35.0,5.944502617801047,68,0,Normal
L,1488,41.8,6.512921465968586,75,0,Normal
L,1309,57.6,7.895120418848168,77,0,Normal
L,1784,26.4,4.931685863874345,79,0,Normal
L,1548,32.4,5.251853403141361,81,0,Normal
L,1413,43.5,6.436178010471204,83,0,Normal
L,1427,43.8,6.544774869109948,88,0,Normal
L,1481,40.4,6.26517277486911,93,0,Normal
L,1446,39.7,6.011120418848168,95,0,Normal
L,1444,44.9,6.789068062827225,97,0,Normal
L,1518,37.4,5.944837696335078,102,0,Normal
L,1603,35.9,6.025937172774869,104,0,Normal
L,1686,30.9,5.455225130890052,106,0,Normal
L,1477,45.4,7.021549738219895,111,0,Normal
L,1398,49.1,7.187623036649215,119,0,Normal
L,1665,34.3,5.980052356020941,139,0,Normal
L,1510,38.7,6.119057591623037,141,0,Normal
L,1465,40.2,6.166806282722514,143,0,Normal
L,1701,27.5,4.898167539267016,145,0,Normal
L,1658,32.3,5.6076858638743445,150,0,Normal
L,1346,52.4,7.385382198952879,157,0,Normal
L,1567,33.1,5.43117277486911,168,0,Normal
L,1725,34.0,6.141361256544503,170,0,Normal
L,1744,31.2,5.697675392670156,172,0,Normal
L,1550,34.8,5.648167539267015,177,0,Normal
L,1270,65.3,8.683874345549738,182,1,OSF
L,1406,50.5,7.434869109947644,187,0,Normal
L,1420,45.8,6.810052356020941,192,0,Normal
L,1889,22.7,4.490083769633507,194,0,Normal
L,1477,43.6,6.7431623036649215,196,0,Normal
L,1460,46.9,7.170052356020943,198,0,Normal
L,1758,24.4,4.491643979057591,200,0,Normal
L,1521,31.5,5.016910994764398,202,0,Normal
L,1530,37.3,5.9758115183246066,207,1,TWF
L,1454,46.8,7.125361256544502,0,0,Normal
L,1928,23.1,4.663539267015707,2,0,Normal
L,1649,33.2,5.732649214659686,9,0,Normal
L,1447,50.3,7.6213717277486905,11,0,Normal
L,1417,48.0,7.122094240837696,13,0,Normal
L,1434,44.9,6.742052356020943,15,0,Normal
L,1567,41.1,6.7438429319371735,26,0,Normal
L,1549,44.6,7.23407329842932,31,0,Normal
L,1754,26.9,4.940586387434555,33,0,Normal
L,1489,38.3,5.971591623036649,35,0,Normal
L,1543,38.5,6.220471204188482,37,0,Normal
L,1543,33.1,5.347989528795812,39,0,Normal
L,1565,35.6,5.833926701570681,41,0,Normal
L,1609,32.3,5.441958115183246,49,0,Normal
L,1450,44.1,6.695811518324607,56,0,Normal
L,1590,39.9,6.643036649214659,58,0,Normal
L,1451,41.8,6.350973821989529,66,0,Normal
L,1758,24.4,4.491643979057591,68,0,Normal
L,1786,24.3,4.544481675392671,81,0,Normal
L,1457,44.5,6.789162303664922,83,0,Normal
L,1470,39.6,6.095497382198953,97,0,Normal
L,1351,48.6,6.87524607329843,110,0,Normal
L,1401,49.7,7.291068062827224,118,0,Normal
L,1503,38.2,6.0120000000000005,120,0,Normal
L,1564,35.0,5.731937172774869,122,0,Normal
L,1759,24.6,4.53103664921466,124,0,Normal
L,1409,53.1,7.834335078534032,126,0,Normal
L,1738,25.8,4.695329842931938,128,0,Normal
L,1499,38.8,6.090178010471204,135,0,Normal
L,1493,39.0,6.097068062827225,137,0,Normal
L,1652,33.9,5.864167539267015,139,0,Normal
L,1589,29.9,4.974984293193717,141,0,Normal
L,1520,42.2,6.716649214659687,143,0,Normal
L,1463,46.8,7.169465968586387,150,0,Normal
L,1442,43.7,6.598471204188482,152,0,Normal
L,1329,51.5,7.166858638743456,154,0,Normal
L,1546,33.1,5.358387434554975,156,0,Normal
L,1412,47.0,6.949109947643979,164,0,Normal
L,1428,47.9,7.162429319371728,174,0,Normal
L,1329,54.6,7.598261780104713,176,0,Normal
L,1373,53.0,7.61979057591623,181,0,Normal
L,1630,35.6,6.076230366492147,183,0,Normal
L,1555,34.2,5.568691099476441,185,0,Normal
L,1609,31.0,5.222931937172775,190,0,Normal
L,1448,44.8,6.792712041884816,195,0,Normal
L,1538,36.8,5.926534031413612,208,0,Normal
L,1657,31.1,5.396094240837697,3,0,Normal
L,1446,42.9,6.495643979057592,5,0,Normal
L,1465,43.8,6.719057591623036,7,0,Normal
L,1827,23.8,4.553151832460733,9,0,Normal
L,1744,29.7,5.423748691099476,16,0,Normal
L,1545,36.7,5.937329842931938,18,0,Normal
L,1587,36.6,6.082115183246073,20,0,Normal
L,1511,48.1,7.610376963350786,24,0,Normal
L,1650,32.4,5.597905759162304,26,0,Normal
L,1412,48.9,7.230031413612566,28,0,Normal
L,1528,43.1,6.896,30,0,Normal
L,1459,35.0,5.347120418848167,32,0,Normal
L,1622,36.8,6.250219895287958,45,0,Normal
L,1786,25.7,4.806303664921466,47,0,Normal
L,1506,34.0,5.361675392670157,49,0,Normal
L,1531,37.5,6.011780104712042,60,0,Normal
L,1529,33.4,5.347497382198953,62,0,Normal
L,1350,56.6,8.001047120418848,76,0,Normal
L,1392,50.0,7.287958115183246,84,0,Normal
L,1467,44.9,6.897204188481676,86,0,Normal
L,1769,24.9,4.612366492146597,91,0,Normal
L,1459,47.6,7.272083769633508,93,0,Normal
L,1491,42.8,6.682178010471204,98,0,Normal
L,1567,36.4,5.972649214659685,100,0,Normal
L,1421,41.4,6.160146596858639,102,0,Normal
L,1596,33.5,5.598534031413613,104,0,Normal
L,1620,30.3,5.139895287958115,112,0,Normal
L,1891,22.7,4.494837696335078,135,0,Normal
L,1466,43.9,6.738994764397906,152,0,Normal
L,1450,47.9,7.272774869109948,154,0,Normal
L,1880,24.5,4.82303664921466,156,0,Normal
L,1610,33.1,5.58020942408377,161,0,Normal
L,1565,42.8,7.013821989528796,163,0,Normal
L,1545,40.1,6.487382198952879,165,0,Normal
L,1227,60.1,7.721748691099476,167,0,Normal
L,1484,45.9,7.132523560209423,169,0,Normal
L,1591,32.7,5.447717277486912,171,0,Normal
L,1403,47.2,6.934198952879582,173,0,Normal
L,1720,28.1,5.060942408376963,178,0,Normal
L,1561,37.2,6.080544502617801,180,0,Normal
L,2034,19.7,4.19579057591623,190,0,Normal
L,1486,40.4,6.286324607329843,192,0,Normal
L,1338,67.6,9.471078534031413,194,1,OSF
L,1559,37.6,6.138052356020943,209,0,Normal
L,1599,37.0,6.195078534031413,211,0,Normal
L,1427,38.9,5.812596858638743,213,0,Normal
L,1674,27.0,4.732774869109948,223,0,Normal
L,1311,53.2,7.303162303664921,0,0,Normal
L,1480,45.2,7.0048167539267014,8,0,Normal
L,1461,46.1,7.052575916230367,10,0,Normal
L,1389,46.5,6.7631937172774865,15,0,Normal
L,1638,35.1,6.0202931937172774,17,0,Normal
L,1254,54.1,7.103811518324608,19,0,Normal
L,1427,50.1,7.486146596858639,21,0,Normal
L,1627,31.8,5.41765445026178,23,0,Normal
L,1773,27.1,5.031235602094241,30,0,Normal
L,1595,29.5,4.92696335078534,35,0,Normal
L,1521,44.1,7.023675392670158,37,0,Normal
L,1419,43.7,6.493225130890052,39,0,Normal
L,1677,29.2,5.1275811518324605,49,0,Normal
L,1392,50.5,7.360837696335079,51,0,Normal
L,1448,50.5,7.6569633507853405,53,0,Normal
L,1903,22.9,4.563214659685864,55,0,Normal
L,1404,52.0,7.644816753926702,57,0,Normal
L,1386,53.5,7.764502617801047,59,0,Normal
L,1418,47.0,6.978638743455497,61,0,Normal
L,1549,40.6,6.585277486910995,66,0,Normal
L,1630,34.6,5.905549738219896,94,0,Normal
L,1297,62.5,8.488219895287958,109,0,Normal
L,1633,36.4,6.224209424083769,114,0,Normal
L,1831,26.9,5.1574764397905755,121,0,Normal
L,1475,40.4,6.23979057591623,126,0,Normal
L,1493,35.1,5.487361256544503,131,0,Normal
L,1700,29.5,5.2513089005235605,133,0,Normal
L,1453,37.0,5.629424083769633,135,0,Normal
L,1542,34.1,5.505989528795812,137,0,Normal
L,1885,27.5,5.428010471204188,147,0,Normal
L,1494,41.4,6.476607329842932,149,0,Normal
L,1638,29.6,5.076942408376964,160,0,Normal
L,1609,36.0,6.065340314136126,162,0,Normal
L,1442,59.8,9.029486910994763,169,1,PWF
L,1953,22.4,4.580858638743456,180,0,Normal
L,1576,34.7,5.726408376963351,182,0,Normal
L,1985,18.8,3.9076439790575916,190,0,Normal
L,1802,26.4,4.98144502617801,192,0,Normal
L,1603,32.4,5.438450261780105,194,0,Normal
L,1400,54.0,7.9162303664921465,196,0,Normal
L,1395,54.2,7.91717277486911,198,0,Normal
L,1987,19.9,4.140450261780105,200,0,Normal
L,1333,66.7,9.310062827225131,205,1,OSF
L,1381,49.4,7.143602094240837,207,0,Normal
L,1570,36.1,5.934764397905759,0,0,Normal
L,1384,50.8,7.362010471204188,13,0,Normal
L,1570,37.2,6.115602094240838,15,0,Normal
L,1476,37.3,5.764900523560209,20,0,Normal
L,1448,49.6,7.520502617801047,28,0,Normal
L,1510,44.9,7.099371727748691,33,0,Normal
L,1378,55.5,8.0082722513089,35,0,Normal
L,1390,48.1,7.000942408376964,40,0,Normal
L,1785,24.8,4.635392670157068,45,0,Normal
L,1507,37.5,5.917539267015707,55,0,Normal
L,1530,37.8,6.055916230366491,57,0,Normal
L,1504,38.7,6.094743455497382,65,0,Normal
L,1511,34.7,5.490230366492147,75,0,Normal
L,1535,41.8,6.718638743455497,77,0,Normal
L,1505,37.9,5.972722513089005,79,0,Normal
L,1382,46.4,6.714638743455497,94,0,Normal
L,1439,41.8,6.298450261780104,96,0,Normal
L,1475,48.6,7.506282722513089,104,0,Normal
L,1389,46.9,6.821371727748691,106,0,Normal
L,1652,32.8,5.673884816753927,108,0,Normal
L,1386,50.3,7.300083769633508,110,0,Normal
L,1554,40.2,6.54144502617801,118,0,Normal
L,1602,32.8,5.502157068062827,120,0,Normal
L,1682,34.4,6.058722513089005,127,0,Normal
L,1614,34.1,5.763078534031414,129,0,Normal
L,1324,47.8,6.626931937172775,131,0,Normal
L,1434,40.3,6.051329842931937,133,0,Normal
L,1621,31.6,5.3637277486911,135,0,Normal
L,1394,53.7,7.838513089005236,140,0,Normal
L,1586,35.1,5.829172774869111,142,0,Normal
L,1420,45.9,6.824921465968586,144,0,Normal
